Players,Team_Name,Year,Matches,Innings,Balls_Bowled,Overs,Runs,Wickets,Best_Bowling ,Maidens,Bowling_Average,Economy_Rate,Strike_Rate,Four_fer,Five_fer,SOLD PRICE,Image_URL
HV Patel,PBKS,2024,14,14,294,49,477,24,Mar-15,0,19.87,9.73,12.25,0,0,50000000,https://documents.iplt20.com/ipl/IPLHeadshot2024/114.png
CV Varun,KKR,2024,15,14,300,50,402,21,Mar-16,0,19.14,8.04,14.28,0,0,30000000,https://documents.iplt20.com/ipl/IPLHeadshot2024/140.png
JJ Bumrah,MI,2024,13,13,311,51.5,336,20,May-21,0,16.8,6.48,15.55,0,1,80000000,https://documents.iplt20.com/ipl/IPLHeadshot2024/9.png
AD Russell,KKR,2024,15,14,176,29.2,295,19,Mar-19,0,15.52,10.05,9.26,0,0,65000000,https://documents.iplt20.com/ipl/IPLHeadshot2024/141.png
Harshit Rana,KKR,2024,13,11,253,42.1,383,19,Mar-24,1,20.15,9.08,13.31,0,0,20000000,https://documents.iplt20.com/ipl/IPLHeadshot2024/1013.png
T Natarajan,SRH,2024,14,14,308,51.2,465,19,Apr-19,1,24.47,9.05,16.21,1,0,40000000,https://documents.iplt20.com/ipl/IPLHeadshot2024/224.png
Arshdeep Singh,PBKS,2024,14,14,302,50.2,505,19,Apr-29,0,26.57,10.03,15.89,1,0,35000000,https://documents.iplt20.com/ipl/IPLHeadshot2024/125.png
Avesh Khan,RR,2024,16,15,329,54.5,526,19,Mar-27,0,27.68,9.59,17.31,0,0,15000000,https://documents.iplt20.com/ipl/IPLHeadshot2024/109.png
YS Chahal,RR,2024,15,15,348,58,546,18,03-Nov,0,30.33,9.41,19.33,0,0,17000000,https://documents.iplt20.com/ipl/IPLHeadshot2024/10.png
PJ Cummins,SRH,2024,16,16,366,61,566,18,Mar-43,1,31.44,9.27,20.33,0,0,200000000,https://documents.iplt20.com/ipl/IPLHeadshot2024/33.png
