Players,year,Matches,Innings,Not_out,Runs,HS,AVG,Balls_faced,Strike_rate,100,50,DuckOut,Fours,sixes,SOLD PRICE,Image_URL
V Kohli (RCB),2024-2024,15,15,3,741,113*,61.75,479,154.69,1,5,-,62,38,15000000,https://documents.iplt20.com/ipl/IPLHeadshot2024/2.png
RD Gaikwad (CSK),2024-2024,14,14,3,583,108*,53,413,141.16,1,4,2,58,18,200000,https://documents.iplt20.com/ipl/IPLHeadshot2024/102.png
R Parag (RR),2024-2024,16,14,3,573,84*,52.09,384,149.21,-,4,-,40,33,200000,https://documents.iplt20.com/ipl/IPLHeadshot2024/189.png
TM Head (SRH),2024-2024,15,15,1,567,102,40.5,296,191.55,1,4,3,64,32,68000000,https://documents.iplt20.com/ipl/IPLHeadshot2024/37.png
SV Samson (RR),2024-2024,16,15,4,531,86,48.27,346,153.46,-,5,1,48,24,20000,https://documents.iplt20.com/ipl/IPLHeadshot2024/190.png
B Sai Sudharsan (GT),2024-2024,12,12,1,527,103,47.9,373,141.28,1,2,-,48,16,200000,https://documents.iplt20.com/ipl/IPLHeadshot2024/976.png
KL Rahul (LSG),2024-2024,14,14,-,520,82,37.14,382,136.12,-,4,-,45,19,200000,https://documents.iplt20.com/ipl/IPLHeadshot2024/19.png
N Pooran (LSG),2024-2024,14,14,6,499,75,62.37,280,178.21,-,3,1,35,36,22000,https://www.lucknowsupergiants.in/static-assets/images/players/63726.png?v=12.22
SP Narine (KKR),2024-2024,15,14,-,488,109,34.85,270,180.74,1,3,1,50,33,200000,https://documents.iplt20.com/ipl/IPLHeadshot2024/156.png
Abhishek Sharma (SRH),2024-2024,16,16,1,484,75*,32.26,237,204.21,-,3,-,36,42,200000,https://documents.iplt20.com/ipl/IPLHeadshot2024/212.png
H Klaasen (SRH),2024-2024,16,15,3,479,80*,39.91,280,171.07,-,4,-,19,38,200000,https://documents.iplt20.com/ipl/IPLHeadshot2024/202.png
RR Pant (DC),2024-2024,13,13,2,446,88*,40.54,287,155.4,-,3,-,36,25,200000,https://documents.iplt20.com/ipl/IPLHeadshot2024/18.png
F du Plessis (RCB),2024-2024,15,15,-,438,64,29.2,271,161.62,-,4,-,47,21,200000,https://documents.iplt20.com/ipl/IPLHeadshot2024/94.png
PD Salt (KKR),2024-2024,12,12,1,435,89*,39.54,239,182,-,4,1,50,24,200000,https://documents.iplt20.com/ipl/IPLHeadshot2024/1220.png
